sample_id,xi,E_true,alpha_true,u_true_disp_y_tip,u_hat_disp_y_tip,status
323,-2.0174181573806932e-01,2.0272596183237933e+11,9.7982581842619298e-01,-1.9330458751586845e-06,-1.9397006638991100e-06,"ok"
324,-3.7476075406051546e-01,1.9914619999848795e+11,9.6252392459394853e-01,-1.9677934317159186e-06,-1.9938499759937920e-06,"ok"
325,-9.3422330698727929e-01,1.8757091977843320e+11,9.0657766930127215e-01,-2.0892288888385203e-06,-2.0486938763963371e-06,"ok"
326,-7.5493276352211958e-01,1.9128044112272736e+11,9.2450672364778808e-01,-2.0487122572882303e-06,-2.0538631325682732e-06,"ok"
327,-1.0901767742383490e+00,1.8434424254100854e+11,8.9098232257616505e-01,-2.1257977949662396e-06,-2.1370288843126943e-06,"ok"
328,-5.8583123882755050e-01,1.9477915166865799e+11,9.4141687611724501e-01,-2.0119123681884836e-06,-1.9720633135508479e-06,"ok"
329,9.1631879836134267e-01,2.2585863593809619e+11,1.0916318798361344e+00,-1.7350613257717109e-06,-1.7508008872520573e-06,"ok"
330,6.0059949559374148e-01,2.1932640356383450e+11,1.0600599495593741e+00,-1.7867369269787399e-06,-1.7893981668644326e-06,"ok"
331,-1.6168901525933472e+00,1.7344654274284366e+11,8.3831098474066534e-01,-2.2593623263397676e-06,-2.2974572521589122e-06,"ok"
332,1.0414612574237327e+00,2.2844783341609705e+11,1.1041461257423733e+00,-1.7153963705722587e-06,-1.7102779445043624e-06,"ok"
333,1.9112518328853141e+00,2.4644380042239716e+11,1.1911251832885315e+00,-1.5901336679446997e-06,-1.5688479079514208e-06,"ok"
334,-7.0542964938575858e-01,1.9230466055420865e+11,9.2945703506142408e-01,-2.0378007645694975e-06,-2.0546490095173076e-06,"ok"
335,-9.5880107329055531e-01,1.8706240579361841e+11,9.0411989267094450e-01,-2.0949082882031876e-06,-2.0243582382173668e-06,"ok"
336,3.9030822267809717e-01,2.1497547712720984e+11,1.0390308222678097e+00,-1.8228990094370962e-06,-1.8092809412844228e-06,"ok"
337,-1.5490234143483003e-01,2.0369507055571338e+11,9.8450976585651706e-01,-1.9238491301714507e-06,-1.9020456676254772e-06,"ok"
338,9.4582463121068350e-01,2.2646911161974905e+11,1.0945824631210683e+00,-1.7303842519901996e-06,-1.7023526434863443e-06,"ok"
339,-5.2767415989590838e-01,1.9598242163175366e+11,9.4723258401040922e-01,-1.9995598638155912e-06,-1.8958759455896834e-06,"ok"
340,-4.4525509459629570e-01,1.9768767209280264e+11,9.5547449054037048e-01,-1.9823116947959348e-06,-2.0189470599321013e-06,"ok"
341,-1.2385359326326808e+00,1.8127469155382983e+11,8.7614640673673194e-01,-2.1617942413772286e-06,-2.2498957065714797e-06,"ok"
342,-7.7248367391202788e-01,1.9091731278676013e+11,9.2275163260879711e-01,-2.0526089466987650e-06,-2.0759970039298685e-06,"ok"
343,7.7754035432483937e-01,2.2298730993098093e+11,1.0777540354324839e+00,-1.7574030756751394e-06,-1.8129724489995125e-06,"ok"
344,1.5695922416187713e-01,2.1014748634790924e+11,1.0156959224161877e+00,-1.8647788328043673e-06,-1.8976198573702578e-06,"ok"
345,7.4481043770731825e-01,2.2231012795616443e+11,1.0744810437707319e+00,-1.7627563256368241e-06,-1.7750254385502742e-06,"ok"
346,7.0236012407852355e-01,2.2143183096718466e+11,1.0702360124078525e+00,-1.7697482001385135e-06,-1.7202539564735375e-06,"ok"
347,1.0247219203473974e+00,2.2810149653198764e+11,1.1024721920347398e+00,-1.7180009349599415e-06,-1.7053007358213141e-06,"ok"
348,1.2017652363849737e-02,2.0714864522740805e+11,1.0012017652363849e+00,-1.8917747875113033e-06,-1.9835127733978584e-06,"ok"
349,4.9302283432031246e-01,2.1710064244208728e+11,1.0493022834320314e+00,-1.8050549270582915e-06,-1.8036535544723399e-06,"ok"
350,-7.2035967231004350e-01,1.9199575837990521e+11,9.2796403276899575e-01,-2.0410793843223083e-06,-2.0670821870500371e-06,"ok"
351,-1.2215841381914621e+00,1.8162542418081866e+11,8.7784158618085384e-01,-2.1576196508562785e-06,-2.1608867468766833e-06,"ok"
352,-5.6362584528555548e-01,1.9523858126104187e+11,9.4363741547144453e-01,-2.0071779961584708e-06,-1.9843989313771758e-06,"ok"
353,4.6183962665419753e-01,2.1645546187547534e+11,1.0461839626654197e+00,-1.8104351856628572e-06,-1.8524323594327513e-06,"ok"
