sample_id,xi,E_true,alpha_true,u_true_disp_y_tip,u_true_disp_y_x0900,u_true_disp_y_x0800,u_true_disp_y_x0700,u_true_disp_y_x0600,u_true_disp_y_x0500,u_true_disp_y_x0400,u_true_disp_y_x0300,u_true_disp_y_x0200,u_true_disp_y_x0100,u_hat_disp_y_tip,u_hat_disp_y_x0900,u_hat_disp_y_x0800,u_hat_disp_y_x0700,u_hat_disp_y_x0600,u_hat_disp_y_x0500,u_hat_disp_y_x0400,u_hat_disp_y_x0300,u_hat_disp_y_x0200,u_hat_disp_y_x0100,status,valid,law_residual,law_residual_disp_y_tip,law_residual_disp_y_x0900,law_residual_disp_y_x0800,law_residual_disp_y_x0700,law_residual_disp_y_x0600,law_residual_disp_y_x0500,law_residual_disp_y_x0400,law_residual_disp_y_x0300,law_residual_disp_y_x0200,law_residual_disp_y_x0100
852,-2.0009396418913603e+00,1.6550055880926776e+11,7.9990603581086395e-01,-2.3678384358685834e-06,-2.0150269161224085e-06,-1.6693542371784978e-06,-1.3378039527658801e-06,-1.0274134749809968e-06,-7.4506551405659855e-07,-4.9759905902751818e-07,-2.9197305022907624e-07,-1.3480347699671285e-07,-3.3164297509915062e-08,-2.4261257912634349e-06,-2.0623875686403469e-06,-1.6310845071325663e-06,-1.2828736136263353e-06,-1.0341925321845522e-06,-6.5762492437646883e-07,-3.9873937965140545e-07,-2.9519280608037755e-07,-1.3238245134030469e-07,-7.9784816220631023e-09,ok,1,-4.6707082645980336e-12,-4.0135672563224034e-12,-4.068745340646274e-12,-4.140243703432134e-12,-4.214961712989407e-12,-4.296452082996893e-12,-4.359068661585752e-12,-4.419575816427823e-12,-4.48474590797332e-12,-4.569011835542369e-12,-4.6707082645980336e-12
853,1.1461407571688176e+00,2.3061365226582285e+11,1.1146140757168819e+00,-1.6992861457148348e-06,-1.4460899316187491e-06,-1.1980169274038669e-06,-9.6007890073128106e-07,-7.3732627087622151e-07,-5.3469843487115324e-07,-3.5710341310359365e-07,-2.0953530936100998e-07,-9.6742107647561689e-08,-2.3800454641377788e-08,-1.6984079552137442e-06,-1.4397120406260726e-06,-1.2144817191199380e-06,-9.7238432700178724e-07,-7.0200625537958261e-07,-5.3346613613819113e-07,-3.3430174146501996e-07,-1.9112857442290058e-07,-8.4314658301802644e-08,-5.3255086226451317e-08,ok,1,3.383959779057477e-13,3.2018832030189515e-13,3.0819791163594346e-13,2.9243274468626623e-13,2.8688162956314045e-13,2.8044233602031454e-13,2.9976021664879227e-13,3.2307490016592055e-13,3.383959779057477e-13,3.3217872896784684e-13,3.2818192607919627e-13
854,-9.9340043070225939e-02,2.0484465450887701e+11,9.9006599569297737e-01,-1.9130525287467664e-06,-1.6280047992239420e-06,-1.3487247678861680e-06,-1.0808546715172357e-06,-8.3008026080138991e-07,-6.0196229783116129e-07,-4.0202622094262216e-07,-2.3589438097028522e-07,-1.0891204764903624e-07,-2.6794498414421773e-08,-1.8805649974318413e-06,-1.5724579659028559e-06,-1.3210890166552059e-06,-1.0647301002867387e-06,-8.1503868410900156e-07,-5.9310708836355297e-07,-4.1864557755360671e-07,-2.0172173299163224e-07,-3.7046213407458335e-08,-5.2395317665723413e-08,ok,1,1.4774848011711583e-12,1.4774848011711583e-12,1.4728218644677327e-12,1.4597212327771558e-12,1.446620601086579e-12,1.4237500067793007e-12,1.4195311592857252e-12,1.419087070075875e-12,1.4126477765330492e-12,1.3893330930159209e-12,1.3655743202889425e-12
855,1.1664827135689584e+00,2.3103452734374176e+11,1.1166482713568959e+00,-1.6961905599693548e-06,-1.4434555928463889e-06,-1.1958345026647178e-06,-9.5832992715956664e-07,-7.3598308526874595e-07,-5.3372437593627515e-07,-3.5645287861998730e-07,-2.0915359935972623e-07,-9.6565872767877988e-08,-2.3757097406744520e-08,-1.6686176236408838e-06,-1.4129594210070780e-06,-1.3004239689188723e-06,-8.8607445300278870e-07,-6.9615561313485149e-07,-5.3282709143785158e-07,-3.6163777375755574e-07,-1.4237307052732273e-07,-1.0173567098306019e-07,1.6747794467396161e-08,ok,1,-1.2631007351160406e-12,-1.1465273175303992e-12,-1.1544099010052378e-12,-1.1675105326958146e-12,-1.1771694730100535e-12,-1.1975975766631564e-12,-1.2005951788296443e-12,-1.2033707363912072e-12,-1.2115863867734333e-12,-1.2365664048274994e-12,-1.2631007351160406e-12
856,-1.3888867982389063e-02,2.0661263932144437e+11,9.9861111320176110e-01,-1.8966825340073780e-06,-1.6140739585394330e-06,-1.3371837270503699e-06,-1.0716057956912913e-06,-8.2297726216519122e-07,-5.9681130511100619e-07,-3.9858608167668292e-07,-2.3387583222814951e-07,-1.0798008701529452e-07,-2.6565217831950867e-08,-1.9230409457362798e-06,-1.6118755803751305e-06,-1.3542881451879238e-06,-1.1069593834960954e-06,-8.6354978980599277e-07,-6.1942360626382083e-07,-3.7296717163600892e-07,-2.3069545238815959e-07,-1.2604897102910587e-07,4.8024276517945489e-09,ok,1,-4.540035014599653e-12,-4.430678046674075e-12,-4.459321800709404e-12,-4.4930725806580085e-12,-4.5139447735209615e-12,-4.532818564939589e-12,-4.526157226791838e-12,-4.5143888627308115e-12,-4.5100589929347734e-12,-4.525269048372138e-12,-4.540035014599653e-12
857,-7.9668681505545824e-01,1.9041654979650256e+11,9.2033131849445415e-01,-2.0580069575231713e-06,-1.7513607981684090e-06,-1.4509193628425734e-06,-1.1627524078030376e-06,-8.9297650031133083e-07,-6.4757374849233706e-07,-4.3248826018843097e-07,-2.5376839892398101e-07,-1.1716445233559976e-07,-2.8824751715708613e-08,-2.0774099801736257e-06,-1.7240620963014947e-06,-1.4665062547023463e-06,-1.2126154782204972e-06,-9.2014816675078810e-07,-6.3278016336717739e-07,-4.1617510872927133e-07,-2.0159491608141139e-07,-7.5574163106888141e-08,3.0232002344822510e-08,ok,1,2.312150471084351e-12,2.2299939672620894e-12,2.2379875730393906e-12,2.2386537068541656e-12,2.2435386881625163e-12,2.2462032234216167e-12,2.270850174568295e-12,2.2961632595297488e-12,2.312150471084351e-12,2.3083757128006255e-12,2.3077095789858504e-12
858,-6.7382456785603417e-01,1.9295856969105865e+11,9.3261754321439660e-01,-2.0308949477396036e-06,-1.7282885189805293e-06,-1.4318050737402508e-06,-1.1474344058200249e-06,-8.8121250334104857e-07,-6.3904266664118310e-07,-4.2679069638828446e-07,-2.5042527547664954e-07,-1.1562093773938531e-07,-2.8445016871917868e-08,-2.1167038553271725e-06,-1.6890231653099422e-06,-1.3855718432291681e-06,-1.1499119047003080e-06,-8.2109610718134862e-07,-5.9478604667527372e-07,-3.9933072481733020e-07,-2.5135971797500128e-07,-1.2102466457987485e-07,3.8571483067833297e-08,ok,1,1.902034085787818e-12,1.902034085787818e-12,1.8891554987021664e-12,1.865618770580113e-12,1.84341431008761e-12,1.816102823681831e-12,1.8147705560522809e-12,1.824096429459132e-12,1.829647544582258e-12,1.8176571359163063e-12,1.8067769502749798e-12
859,-1.1865848870924758e+00,1.8234955868605667e+11,8.8134151129075244e-01,-2.1490514544238106e-06,-1.8288395268858950e-06,-1.5151068151494276e-06,-1.2141915963836070e-06,-9.3248102964123875e-07,-6.7622186647936357e-07,-4.5162117707197112e-07,-2.6499489945872549e-07,-1.2234770916495504e-07,-3.0099934488353474e-08,-2.1531379903491552e-06,-1.8528844045097684e-06,-1.5257121041378598e-06,-1.2790942489651943e-06,-9.2880644694921401e-07,-6.8683891077711328e-07,-4.0441419668536420e-07,-2.6896685741997978e-07,-1.1936792620006223e-07,-2.7227415045092543e-08,ok,1,-5.305755834683623e-13,-1.9328982858723975e-13,-2.1382895454280515e-13,-2.502442697505103e-13,-2.901012763345534e-13,-3.383959779057477e-13,-3.682609772681644e-13,-3.963496197911809e-13,-4.2787995369053533e-13,-4.759526106568046e-13,-5.305755834683623e-13
860,-6.4690532145666735e-01,1.9351552889906155e+11,9.3530946785433322e-01,-2.0250498062796714e-06,-1.7233143124672157e-06,-1.4276841795462098e-06,-1.1441319620253825e-06,-8.7867627578101453e-07,-6.3720343079625117e-07,-4.2556234531245483e-07,-2.4970452369094819e-07,-1.1528816782556411e-07,-2.8363148950778126e-08,-1.9950003536462826e-06,-1.7797371693958983e-06,-1.4696276697967965e-06,-1.0809775708907424e-06,-9.3452042755725513e-07,-6.2419527882645959e-07,-4.0499346049528630e-07,-2.6577410270938716e-07,-1.4807122768345858e-07,-1.9433711722685835e-10,ok,1,3.517408586617421e-12,3.232747403103531e-12,3.2529534621517087e-12,3.270050896730936e-12,3.2940317140628395e-12,3.3140157285060923e-12,3.3588687387009486e-12,3.4088287748090806e-12,3.453015651189162e-12,3.4792169145703156e-12,3.517408586617421e-12
861,2.6001790325176627e-01,2.1227977041827905e+11,1.0260017903251766e+00,-1.8460477111734846e-06,-1.5709838011378034e-06,-1.3014855751976937e-06,-1.0429976503430650e-06,-8.0100663338644911e-07,-5.8087852028406968e-07,-3.8794522045308396e-07,-2.2763216144109472e-07,-1.0509739448371744e-07,-2.5856018967969958e-08,-1.8864771041889625e-06,-1.5455399593303666e-06,-1.3852219920307514e-06,-1.0417819000107790e-06,-8.1629090006455296e-07,-5.2679486783028858e-07,-3.5864835206130645e-07,-3.0687652903505918e-07,-1.0620618290721180e-07,-5.7736248556990028e-08,ok,1,3.269384762916161e-12,3.0901947667416607e-12,3.1104008257898386e-12,3.127720304973991e-12,3.1468161409975437e-12,3.15725223742902e-12,3.1874503036988244e-12,3.2214231282523542e-12,3.248956659263058e-12,3.256728220435434e-12,3.269384762916161e-12
862,1.2263581138611239e+00,2.3227334937578665e+11,1.1226358113861123e+00,-1.6871439851375392e-06,-1.4357569713911456e-06,-1.1894565598968032e-06,-9.5321870699103080e-07,-7.3205774444139022e-07,-5.3087777507632447e-07,-3.5455174927951060e-07,-2.0803808573012119e-07,-9.6050841960098316e-08,-2.3630389733346834e-08,-1.6180955080018504e-06,-1.4361244399365880e-06,-1.1846520090921965e-06,-8.9639910002718057e-07,-7.5823996740210923e-07,-5.0825431873721794e-07,-4.2555955825468289e-07,-1.7528103095928437e-07,-1.3233213226248423e-07,-3.2072048442564484e-08,ok,1,-2.49877896152384e-12,-1.983413433492842e-12,-2.0213830609350225e-12,-2.0727863869751673e-12,-2.1240786907128495e-12,-2.186584246999246e-12,-2.2343238370581275e-12,-2.2822854717219343e-12,-2.337130489138417e-12,-2.41140440948584e-12,-2.49877896152384e-12
863,7.3081328593561867e-02,2.0841205268860080e+11,1.0073081328593563e+00,-1.8803067253213636e-06,-1.6001381701952323e-06,-1.3256385873132069e-06,-1.0623536350464049e-06,-8.1587174083706059e-07,-5.9165848297085068e-07,-3.9514472061527282e-07,-2.3185656658082002e-07,-1.0704779538760484e-07,-2.6335855818481437e-08,-1.8505101023939075e-06,-1.6105404901644023e-06,-1.3539962401011944e-06,-1.0468336825795875e-06,-7.8399108558124776e-07,-6.1657273521769566e-07,-4.0269429243968551e-07,-2.8050547436487464e-07,-1.1345638648631124e-07,1.3574222225651123e-10,ok,1,1.3413714583521141e-12,1.3284928712664623e-12,1.3167245072054357e-12,1.2969625373671079e-12,1.284305994886381e-12,1.2747580768746047e-12,1.2947420913178576e-12,1.319389042464536e-12,1.3393730569077889e-12,1.3391510123028638e-12,1.3413714583521141e-12
864,5.1499902013264953e-01,2.1755532972654453e+11,1.0514999020132649e+00,-1.8012823900935705e-06,-1.5328885808226759e-06,-1.2699254918357286e-06,-1.0177057121007107e-06,-7.8158280218539724e-07,-5.6679263652724052e-07,-3.7853782959853080e-07,-2.2211224625501567e-07,-1.0254885872253151e-07,-2.5229029219027414e-08,-1.8265052127447360e-06,-1.4787933280264847e-06,-1.3176537491731366e-06,-1.0363671301941426e-06,-8.0064169960614278e-07,-4.9371421587187265e-07,-4.2208990620777905e-07,-2.5624030207378859e-07,-1.4549971925716004e-07,2.6112531144665303e-08,ok,1,-1.3210543770014738e-12,-1.1762812945903534e-12,-1.1959322421262186e-12,-1.2232437285319975e-12,-1.2452261444195756e-12,-1.2729817200352045e-12,-1.2780887459484802e-12,-1.2766454560164675e-12,-1.279754080485418e-12,-1.3004042287434459e-12,-1.3210543770014738e-12
865,-1.9570870864033466e-01,2.0285078681823148e+11,9.8042912913596658e-01,-1.9318563681951812e-06,-1.6440068380628590e-06,-1.3619816981661338e-06,-1.0914786441499707e-06,-8.3823931326805847e-07,-6.0787912564035957e-07,-4.0597783042494007e-07,-2.3821304185385940e-07,-1.0998256956480187e-07,-2.7057867788094178e-08,-1.8905971797476849e-06,-1.6356892215833501e-06,-1.3984180789290193e-06,-1.0821789108007400e-06,-8.2092388062965662e-07,-6.1208145460796901e-07,-4.5270814544040486e-07,-2.8062679412694219e-07,-1.4978850332818322e-07,-5.3845976807441486e-08,ok,1,9.472422846101836e-13,8.106848525812893e-13,8.182343691487404e-13,8.222311720373909e-13,8.331113576787175e-13,8.382183835919932e-13,8.646416915780719e-13,8.93951579428176e-13,9.201528428093297e-13,9.301448500309561e-13,9.472422846101836e-13
866,-7.2802569999538913e-01,1.9183714826709540e+11,9.2719743000046106e-01,-2.0427669398108835e-06,-1.7383915662194229e-06,-1.4401749692397801e-06,-1.1541419571797935e-06,-8.8636380270513998e-07,-6.4277831504586918e-07,-4.2928558455040696e-07,-2.5188918521172210e-07,-1.1629682245594282e-07,-2.8611297759633923e-08,-2.0763215805620490e-06,-1.7670468446141616e-06,-1.4509952264288549e-06,-1.2628984738246705e-06,-8.4044119139293578e-07,-6.1951645961716742e-07,-4.0002943763048022e-07,-2.6523269711121277e-07,-7.6522772072836267e-08,-7.2977161110401038e-08,ok,1,-8.159029007970275e-13,-6.753486658794827e-13,-6.818989817247711e-13,-6.981082378842984e-13,-7.132072710192006e-13,-7.335243523698409e-13,-7.360778653264788e-13,-7.395195567028168e-13,-7.500666754367558e-13,-7.80486786311485e-13,-8.159029007970275e-13
867,1.2404474225706189e-01,2.0946648571729861e+11,1.0124044742257061e+00,-1.8708414521134331e-06,-1.5920832370573336e-06,-1.3189654572144431e-06,-1.0570058546744988e-06,-8.1176472530319613e-07,-5.8868013421987229e-07,-3.9315560219820866e-07,-2.3068942415770736e-07,-1.0650892765080156e-07,-2.6203283793339546e-08,-1.8442424725531307e-06,-1.5640779934121536e-06,-1.3016812172340216e-06,-1.0288352055926072e-06,-8.0580132211771218e-07,-5.6325868439862897e-07,-4.0185375530968682e-07,-1.9655321069481450e-07,-1.3706609871845226e-07,-5.2833668117079543e-08,ok,1,1.9118040484045196e-12,1.4359624600501775e-12,1.467936883159382e-12,1.5027978861326119e-12,1.5503154315865686e-12,1.5971668432257502e-12,1.6657786261475849e-12,1.7361667659088198e-12,1.800781745942004e-12,1.8480772467910356e-12,1.9118040484045196e-12
868,-5.8259702671786551e-01,1.9484606751720737e+11,9.4174029732821352e-01,-2.0112214185311759e-06,-1.7115463754754081e-06,-1.4179350018438280e-06,-1.1363190675682548e-06,-8.7267608941037868e-07,-6.3285218171143618e-07,-4.2265632240657449e-07,-2.4799937502459885e-07,-1.1450090349125983e-07,-2.8169466494034864e-08,-1.9681831809261340e-06,-1.7327841690353994e-06,-1.4612929575410125e-06,-1.1741095752269502e-06,-8.3492816421776543e-07,-6.1381903825608355e-07,-3.7217113496280458e-07,-2.1951125914104935e-07,-1.7048625779960010e-07,-2.8379593949802991e-08,ok,1,-2.360778239562933e-12,-1.8034462812011043e-12,-1.853295295006774e-12,-1.9184653865522705e-12,-1.9841905896100798e-12,-2.0584645099575027e-12,-2.1119772597444353e-12,-2.1619372958525673e-12,-2.2144508449173372e-12,-2.282618538629322e-12,-2.360778239562933e-12
869,7.7482209761235954e-01,2.2293106919959973e+11,1.0774822097612360e+00,-1.7578464308110861e-06,-1.4959246453802126e-06,-1.2393026243396063e-06,-9.9316484937136163e-07,-7.6273578577195695e-07,-5.5312505058016386e-07,-3.6940980289735834e-07,-2.1675625180495010e-07,-1.0007600489552163e-07,-2.4620658709271796e-08,-1.8017178467500839e-06,-1.5149701787223587e-06,-1.2142186960255099e-06,-1.0578019910328174e-06,-7.6387671086760718e-07,-5.2367214441188568e-07,-3.6682631226754899e-07,-1.7472681243954483e-07,-4.8745840959211410e-08,-3.8913779511360963e-08,ok,1,4.192646230194441e-12,3.9037661991869754e-12,3.933742220851855e-12,3.9603875734428584e-12,3.990141550502813e-12,4.0110137433657655e-12,4.052536084486746e-12,4.097611139286528e-12,4.1382453019878085e-12,4.160893851690162e-12,4.192646230194441e-12
870,-3.2705441420868520e-01,2.0013324417002231e+11,9.6729455857913149e-01,-1.9580884022148541e-06,-1.6663302592108083e-06,-1.3804755938969698e-06,-1.1062994690292614e-06,-8.4962148564079037e-07,-6.1613331377052972e-07,-4.1149046813144855e-07,-2.4144765738774300e-07,-1.1147598623587010e-07,-2.7425277560371290e-08,-1.9388435172374540e-06,-1.6422156968234508e-06,-1.3580112343575443e-06,-1.1019612067863304e-06,-8.2880964791562457e-07,-6.3690878908410508e-07,-3.5642214951047671e-07,-2.0508903052484757e-07,-1.2477773228148648e-07,-1.6437063401370195e-08,ok,1,-2.4216184613123914e-12,-2.377209540327385e-12,-2.3920865288573623e-12,-2.408184762714427e-12,-2.4136248555350903e-12,-2.4216184613123914e-12,-2.404743071338089e-12,-2.380651231703723e-12,-2.362554596402333e-12,-2.3643309532417334e-12,-2.3619994848900205e-12
