equation_id,node,x,y,z,variable,fixed,K_diag,null_vector
103,18,0.8,0.1,0.0,ROTATION_Y,False,76822306462.04579,-0.18349396085480466
104,18,0.8,0.1,0.0,ROTATION_Z,False,1039417708.5509064,3.4784800365637858e-12
105,18,0.8,0.1,0.0,DISPLACEMENT_X,False,350177721430.0261,-3.0453417565468044e-13
106,18,0.8,0.1,0.0,DISPLACEMENT_Y,False,350177721430.0262,2.1378328794730006e-12
107,18,0.8,0.1,0.0,DISPLACEMENT_Z,False,40576521653741.234,0.14679516868347084
108,19,0.9,0.0,0.0,ROTATION_X,False,76822306462.04578,-4.779726961445796e-14
109,19,0.9,0.0,0.0,ROTATION_Y,False,76822306462.04579,-0.18349396085461056
110,19,0.9,0.0,0.0,ROTATION_Z,False,1039417708.5509058,3.4818096282117524e-12
111,19,0.9,0.0,0.0,DISPLACEMENT_X,False,350177721430.0261,1.0894128481264698e-13
112,19,0.9,0.0,0.0,DISPLACEMENT_Y,False,350177721430.0261,2.5025041717682828e-12
113,19,0.9,0.0,0.0,DISPLACEMENT_Z,False,40576521653741.25,0.16514456476893735
114,20,0.9,0.1,0.0,ROTATION_X,False,49237995344.61461,-3.1905294378686833e-13
115,20,0.9,0.1,0.0,ROTATION_Y,False,49237995344.61463,-0.1834939608541765
116,20,0.9,0.1,0.0,ROTATION_Z,False,708712467.4874812,3.4814220259350888e-12
117,20,0.9,0.1,0.0,DISPLACEMENT_X,False,350177721430.0261,-3.027135833666428e-13
118,20,0.9,0.1,0.0,DISPLACEMENT_Y,False,350177721430.0261,2.4944591205978972e-12
119,20,0.9,0.1,0.0,DISPLACEMENT_Z,False,37018145519592.625,0.16514456476892705
120,21,1.0,0.0,0.0,ROTATION_X,False,24618997672.307304,1.5597332453376467e-13
121,21,1.0,0.0,0.0,ROTATION_Y,False,24618997672.307316,-0.1834939608544594
122,21,1.0,0.0,0.0,ROTATION_Z,False,354356233.7437406,3.4757902563347255e-12
123,21,1.0,0.0,0.0,DISPLACEMENT_X,False,175088860715.01306,2.2069883897843368e-13
124,21,1.0,0.0,0.0,DISPLACEMENT_Y,False,175088860715.01306,2.832928566753358e-12
125,21,1.0,0.0,0.0,DISPLACEMENT_Z,False,18509072759796.312,0.18349396085438585
126,22,1.0,0.1,0.0,ROTATION_X,False,38411153231.02289,-1.1768537533374257e-13
127,22,1.0,0.1,0.0,ROTATION_Y,False,38411153231.0229,-0.18349396085457415
128,22,1.0,0.1,0.0,ROTATION_Z,False,519708854.2754529,3.4814204436775433e-12
129,22,1.0,0.1,0.0,DISPLACEMENT_X,False,175088860715.01306,-2.96433559122955e-13
130,22,1.0,0.1,0.0,DISPLACEMENT_Y,False,175088860715.01306,2.755817844974154e-12
131,22,1.0,0.1,0.0,DISPLACEMENT_Z,False,20288260826870.625,0.1834939608543776
