sample_id,phase1_kind,repeat,E_true,alpha_true,status,seconds,reference,tolerance,match,max_rel_err,u_disp_y_tip,expected_disp_y_tip,phase1_disp_y_tip
654,wrong,1,209774202787.3816,1.0138917486098675,ok,0.018727500006207265,u_ref*E_ref/E,1e-06,True,9.919842725025774e-13,-1.8680971210967754e-06,-1.8680971210986285e-06,-1.736180128688966e-08
659,wrong,1,182846082996.81577,0.8837413387956297,ok,0.016207399996346794,u_ref*E_ref/E,1e-06,True,6.564748744608551e-13,-2.143215637353493e-06,-2.1432156373549e-06,-2.400195305901347e-07
690,wrong,1,204541311436.33405,0.9885998619445822,ok,0.016799500001070555,u_ref*E_ref/E,1e-06,True,2.5346391652192324e-12,-1.915889663339971e-06,-1.915889663344827e-06,-1.1647514738432859e-07
772,wrong,1,234238934011.0299,1.132135978786998,ok,0.014281499999924563,u_ref*E_ref/E,1e-06,True,6.714628852932947e-13,-1.6729865424066423e-06,-1.672986542405519e-06,-1.9095446185705852e-07
843,wrong,1,157045022306.64978,0.7590382905106321,ok,0.01583490000484744,u_ref*E_ref/E,1e-06,True,1.3717915692268434e-12,-2.4953263628006865e-06,-2.495326362797263e-06,-6.514168546042557e-08
982,wrong,1,220844300439.3464,1.0673963288513602,ok,0.01688329999888083,u_ref*E_ref/E,1e-06,True,2.7466917629226373e-13,-1.7744564090092376e-06,-1.774456409009725e-06,1.4868877421341746e-06
25,good,1,211050048527.13806,1.0200582335772743,ok,0.016093600002932362,phase1_u_true,1e-10,True,7.261968804073149e-13,-1.8568040473878832e-06,-1.8568040473938929e-06,-1.8568040473892317e-06
105,good,1,180855390498.8905,0.8741198187476583,ok,0.01542610000615241,phase1_u_true,1e-10,True,2.042810365310288e-13,-2.1668062158780504e-06,-2.1668062158770517e-06,-2.166806215878493e-06
109,good,1,218154652890.62817,1.0543965823616634,ok,0.014595300002838485,phase1_u_true,1e-10,True,2.3880897259687117e-13,-1.7963338352672688e-06,-1.7963338352647273e-06,-1.7963338352676979e-06
198,good,1,181631599854.27954,0.8778714347717715,ok,0.014637100000982173,phase1_u_true,1e-10,True,2.64177568709556e-12,-2.1575462894274795e-06,-2.157546289424671e-06,-2.157546289433179e-06
205,good,1,218865521822.7385,1.057832391603376,ok,0.014738000005309004,phase1_u_true,1e-10,True,2.690847544783992e-12,-1.7904993945296325e-06,-1.7904993945334802e-06,-1.7904993945344504e-06
219,good,1,208692914614.68225,1.0086656095441384,ok,0.015887999994447455,phase1_u_true,1e-10,True,4.82280881897168e-13,-1.8777761814869088e-06,-1.8777761814837267e-06,-1.8777761814878145e-06
235,good,1,231313996382.477,1.117999015865041,ok,0.01584010000078706,phase1_u_true,1e-10,True,1.3038459201197838e-12,-1.6941412557689766e-06,-1.6941412557668901e-06,-1.6941412557667675e-06
266,good,1,184046165718.53433,0.8895416419455502,ok,0.016024600001401268,phase1_u_true,1e-10,True,1.3233858453531866e-13,-2.1292406868575902e-06,-2.129240686856664e-06,-2.1292406868573086e-06
308,good,1,235011487696.87036,1.135869926036106,ok,0.015127000006032176,phase1_u_true,1e-10,True,8.435474541101939e-13,-1.6674869307388628e-06,-1.6674869307381781e-06,-1.6674869307374563e-06
317,good,1,189462169659.08725,0.9157185580429543,ok,0.015923400002066046,phase1_u_true,1e-10,True,7.891465259035613e-13,-2.068373781496363e-06,-2.068373781494229e-06,-2.0683737814979953e-06
322,good,1,246402620475.98264,1.1909261501980795,ok,0.014874300002702512,phase1_u_true,1e-10,True,4.0611958240788226e-13,-1.590399418446002e-06,-1.5903994184431357e-06,-1.590399418446648e-06
359,good,1,188555702781.8041,0.911337374489145,ok,0.014150399998470675,phase1_u_true,1e-10,True,2.268629728519045e-12,-2.078317327591348e-06,-2.078317327592832e-06,-2.078317327596063e-06
504,good,1,213224189654.44995,1.0305664072230545,ok,0.015350100002251565,phase1_u_true,1e-10,True,2.2726265314076954e-13,-1.8378711390268762e-06,-1.8378711390248166e-06,-1.8378711390272938e-06
572,good,1,209470771487.60135,1.0124251884369326,ok,0.015533800004050136,phase1_u_true,1e-10,True,6.113998196610737e-13,-1.8708031747099212e-06,-1.87080317470957e-06,-1.870803174711065e-06
651,good,1,233234493472.4879,1.1272812637626288,ok,0.015443999996932689,phase1_u_true,1e-10,True,2.0938806244430452e-13,-1.6801913750917593e-06,-1.680191375098182e-06,-1.6801913750914073e-06
826,good,1,223886227254.13657,1.0820987300828253,ok,0.0171009999976377,phase1_u_true,1e-10,True,1.1119993814645568e-12,-1.750346991479709e-06,-1.750346991479026e-06,-1.7503469914777625e-06
828,good,1,199243490727.72397,0.9629941552814112,ok,0.015348500004620291,phase1_u_true,1e-10,True,1.4714895968381825e-12,-1.9668325568704173e-06,-1.9668325568707726e-06,-1.966832556867523e-06
854,good,1,204844654508.877,0.9900659956929774,ok,0.0145630999977584,phase1_u_true,1e-10,True,3.5083047578154947e-13,-1.913052528743971e-06,-1.91305252874385e-06,-1.9130525287433e-06
869,good,1,222931069199.59973,1.077482209761236,ok,0.015590299997711554,phase1_u_true,1e-10,True,2.133404564119701e-12,-1.7578464308054978e-06,-1.7578464308041413e-06,-1.7578464308017476e-06
956,good,1,234755265022.7409,1.1346315370842963,ok,0.014655999999376945,phase1_u_true,1e-10,True,1.2592149545298525e-12,-1.6693069025279072e-06,-1.6693069025306243e-06,-1.6693069025258053e-06
